begins_at,close_price,high_price,interpolated,low_price,open_price,session,symbol,volume
2021-02-01T14:30:00Z,2.190000,2.190000,False,2.189900,2.189900,reg,AHC,1100.0
2021-02-01T14:35:00Z,2.190000,2.190000,True,2.190000,2.190000,reg,AHC,0.0
2021-02-01T14:40:00Z,2.170000,2.180000,False,2.170000,2.180000,reg,AHC,448.0
2021-02-01T14:45:00Z,2.158200,2.160000,False,2.158200,2.160000,reg,AHC,4645.0
2021-02-01T14:50:00Z,2.160000,2.160000,False,2.158200,2.160000,reg,AHC,1946.0
2021-02-01T14:55:00Z,2.150100,2.150100,False,2.150100,2.150100,reg,AHC,702.0
2021-02-01T15:00:00Z,2.172200,2.187600,False,2.172200,2.187600,reg,AHC,581.0
2021-02-01T15:05:00Z,2.172200,2.172200,True,2.172200,2.172200,reg,AHC,0.0
2021-02-01T15:10:00Z,2.170000,2.170000,False,2.170000,2.170000,reg,AHC,119.0
2021-02-01T15:15:00Z,2.180000,2.180000,False,2.170000,2.170000,reg,AHC,2800.0
2021-02-01T15:20:00Z,2.180000,2.180000,True,2.180000,2.180000,reg,AHC,0.0
2021-02-01T15:25:00Z,2.160100,2.160100,False,2.160100,2.160100,reg,AHC,5000.0
2021-02-01T15:30:00Z,2.160100,2.160100,True,2.160100,2.160100,reg,AHC,0.0
2021-02-01T15:35:00Z,2.160100,2.160100,True,2.160100,2.160100,reg,AHC,0.0
2021-02-01T15:40:00Z,2.160100,2.160100,False,2.160100,2.160100,reg,AHC,250.0
2021-02-01T15:45:00Z,2.160000,2.160000,False,2.155000,2.157300,reg,AHC,900.0
2021-02-01T15:50:00Z,2.155000,2.159900,False,2.155000,2.159900,reg,AHC,200.0
2021-02-01T15:55:00Z,2.153800,2.153800,False,2.150000,2.150000,reg,AHC,2440.0
2021-02-01T16:00:00Z,2.159900,2.160000,False,2.159900,2.160000,reg,AHC,600.0
2021-02-01T16:05:00Z,2.155000,2.155000,False,2.150100,2.150100,reg,AHC,331.0
2021-02-01T16:10:00Z,2.120000,2.130000,False,2.120000,2.130000,reg,AHC,2419.0
2021-02-01T16:15:00Z,2.120000,2.120000,True,2.120000,2.120000,reg,AHC,0.0
